id,text,label,source,platform_type,language,date_collected,clean_text,label_encoded
UG_FAKE_004,Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.,FAKE,AfricaCheck,Fact-Check,English,2025-07-15,front page ugandan daily new vision calling president yoweri museveni worst dictator fake,0.0
UG_TRUE_008,Uganda bans single-use plastics to combat environmental pollution.,TRUE,Daily Monitor,News Website,English,2025-01-16,uganda ban singleuse plastic combat environmental pollution,1.0
UG_FAKE_005,NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.,FAKE,AfricaCheck,Fact-Check,English,2021-02-10,ntv uganda tweet apologising announcing fake election result fake,0.0
UG_FAKE_006,"No, Ugandan health ministry did not raise alarm about quarantined Covid-19 patients having sex.",FAKE,AfricaCheck,Fact-Check,English,2020-04-22,ugandan health ministry raise alarm quarantined covid patient sex,0.0
UG_FAKE_007,Manipulated video shows US president Trump urging Ugandans not to forgive president Museveni until he resigns.,FAKE,AfricaCheck,Fact-Check,English,2025-10-21,manipulated video show u president trump urging ugandan forgive president museveni resigns,0.0
UG_FAKE_008,"No, photo of Ugandan police officer with ballot box from 2016, not 2021 elections.",FAKE,AfricaCheck,Fact-Check,English,2021-01-25,photo ugandan police officer ballot box election,0.0
UG_FAKE_009,Viral video of president Yoweri Museveni saying Ugandans will never vote for opposition leader Bobi Wine fabricated.,FAKE,AfricaCheck,Fact-Check,English,2025-12-19,viral video president yoweri museveni saying ugandan never vote opposition leader bobi wine fabricated,0.0
UG_FAKE_010,"Fake tweet claims Ugandan car owners will be fined for not driving twice a week, but no such law exists.",FAKE,AfricaCheck,Fact-Check,English,2025-07-04,fake tweet claim ugandan car owner fined driving twice week law exists,0.0
UG_FAKE_011,"No, tweet saying Ugandan police will arrest women who turn down men and promote homosexuality is fake.",FAKE,AfricaCheck,Fact-Check,English,2023-03-09,tweet saying ugandan police arrest woman turn men promote homosexuality fake,0.0
UG_FAKE_012,"No, the UK hasn't blocked Uganda Airlines' direct flights to London Gatwick airport.",FAKE,AfricaCheck,Fact-Check,English,2025-03-31,uk hasnt blocked uganda airline direct flight london gatwick airport,0.0
UG_FAKE_013,Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.,FAKE,AfricaCheck,Fact-Check,English,2025-07-02,front page ugandan daily new vision calling president yoweri museveni worst dictator fake,0.0
UG_FAKE_014,NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.,FAKE,AfricaCheck,Fact-Check,English,2021-02-10,ntv uganda tweet apologising announcing fake election result fake,0.0
UG_FAKE_015,No CNN report on ‘pressure’ for Ugandan president Museveni to change name.,FAKE,AfricaCheck,Fact-Check,English,2020-10-16,cnn report pressure ugandan president museveni change name,0.0
UG_FAKE_016,Disregard fake Sunday Monitor front page headlined ‘Saleh spends billions to stop Kyagulanyi in Gulu’,FAKE,AfricaCheck,Fact-Check,English,2025-12-15,disregard fake sunday monitor front page headlined saleh spends billion stop kyagulanyi gulu,0.0
UG_FAKE_017,Ignore fake newspaper page claiming Ugandan opposition leader Bobi Wine plans to lose 2026 elections.,FAKE,AfricaCheck,Fact-Check,English,2025-10-16,ignore fake newspaper page claiming ugandan opposition leader bobi wine plan lose election,0.0
UG_FAKE_018,"Report alleging opposition-led plot to overthrow Ugandan government is fake, says country’s army.",FAKE,AfricaCheck,Fact-Check,English,2024-08-23,report alleging oppositionled plot overthrow ugandan government fake say country army,0.0
UG_FAKE_019,"No, Ugandan police didn’t tweet that president Museveni’s academic documents were destroyed in fire.",FAKE,AfricaCheck,Fact-Check,English,2020-09-30,ugandan police didnt tweet president musevenis academic document destroyed fire,0.0
UG_FAKE_020,Ugandan opposition politician Zahara Luyirika didn’t endorse president Museveni – viral image doctored.,FAKE,AfricaCheck,Fact-Check,English,2025-11-18,ugandan opposition politician zahara luyirika didnt endorse president museveni viral image doctored,0.0
UG_FAKE_021,"No, Ugandan sheikh not being charged by police for refusing to hold president’s portrait.",FAKE,AfricaCheck,Fact-Check,English,2020-10-3,ugandan sheikh charged police refusing hold president portrait,0.0
UG_FAKE_022,"No, Ugandan president Museveni didn’t announce military reshuffle on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-06-22,ugandan president museveni didnt announce military reshuffle twitter,0.0
UG_FAKE_023,"No, Uganda Police Force not recruiting polling constables for 2026 election.",FAKE,AfricaCheck,Fact-Check,English,2025-10-24,uganda police force recruiting polling constable election,0.0
UG_FAKE_024,"No, Nigerian actor Genevieve Nnaji didn’t post Facebook endorsement of Bobi Wine for Uganda’s presidency.",FAKE,AfricaCheck,Fact-Check,English,2020-11-12,nigerian actor genevieve nnaji didnt post facebook endorsement bobi wine uganda presidency,0.0
UG_FAKE_025,"No, Uganda’s deputy police spokesperson didn’t announce resignation on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-12-01,uganda deputy police spokesperson didnt announce resignation twitter,0.0
UG_FAKE_026,"No, Ugandan opposition leader Bobi Wine didn’t call for president Museveni’s assassination.",FAKE,AfricaCheck,Fact-Check,English,2020-08-15,ugandan opposition leader bobi wine didnt call president musevenis assassination,0.0
UG_FAKE_027,Viral letter falsely claims Ugandan politician Bosmic Otim was barred from ruling party elections due to fraud.,FAKE,AfricaCheck,Fact-Check,English,2025-08-14,viral letter falsely claim ugandan politician bosmic otim barred ruling party election due fraud,0.0
UG_FAKE_028,NCBA Bank Uganda warns against fake job ads on social media.,FAKE,AfricaCheck,Fact-Check,English,2024-09-23,ncba bank uganda warns fake job ad social medium,0.0
UG_FAKE_029,"Uganda’s finance ministry not giving free grants to entrepreneurs, farmers.",FAKE,AfricaCheck,Fact-Check,English,2020-07-16,uganda finance ministry giving free grant entrepreneur farmer,0.0
UG_FAKE_030,Ugandan army says circulating press release condemning human rights abuses is fake.,FAKE,AfricaCheck,Fact-Check,English,2024-08-13,ugandan army say circulating press release condemning human right abuse fake,0.0
UG_FAKE_031,No evidence Ugandan president Yoweri Museveni is hospitalised or critically ill.,FAKE,AfricaCheck,Fact-Check,English,2025-10-22,evidence ugandan president yoweri museveni hospitalised critically ill,0.0
UG_FAKE_032,"Fake news, says Uganda's New Vision newspaper over school coupling nod claim.",FAKE,AfricaCheck,Fact-Check,English,2024-09-19,fake news say uganda new vision newspaper school coupling nod claim,0.0
UG_FAKE_033,Beware! Fake Uganda deputy police spokesperson Twitter account at it again .,FAKE,AfricaCheck,Fact-Check,English,2021-01-08,beware fake uganda deputy police spokesperson twitter account,0.0
UG_TRUE_009,Uganda launches new initiative to improve access to clean water in rural areas.,TRUE,Daily Monitor,News Website,English,2025-01-17,uganda launch new initiative improve access clean water rural area,1.0
UG_TRUE_010,Uganda's central bank maintains interest rates to support economic growth.,TRUE,New Vision,News Website,English,2025-01-18,uganda central bank maintains interest rate support economic growth,1.0
UG_TRUE_011,Waziri wa Elimu atangaza mikakati mipya ya kuboresha elimu nchini Uganda.,TRUE,VOA Swahili,News Website,Mixed,2025-01-18,waziri wa elimu atangaza mikakati mipya ya kuboresha elimu nchini uganda,1.0
UG_TRUE_012,Uganda signs agreement to enhance regional trade with neighboring countries.,TRUE,CNN,News Website,English,2025-01-19,uganda sign agreement enhance regional trade neighboring country,1.0
UG_TRUE_013,Uganda's tourism sector shows signs of recovery post-pandemic.,TRUE,BBC Africa,News Website,Mixed,2025-01-19,uganda tourism sector show sign recovery postpandemic,1.0
UG_TRUE_014,New infrastructure projects to boost connectivity in Uganda announced.,TRUE,The East African,News Website,English,2025-01-20,new infrastructure project boost connectivity uganda announced,1.0
UG_TRUE_015,Uganda's agricultural exports increase significantly in the last fiscal year.,TRUE,Daily Monitor,News Website,English,2025-01-20,uganda agricultural export increase significantly last fiscal year,1.0
UG_TRUE_016,Uganda to implement new policies to support small and medium enterprises.,TRUE,New Vision,News Website,English,2025-01-21,uganda implement new policy support small medium enterprise,1.0
UG_TRUE_017,Waziri wa Afya atangaza hatua mpya za kupambana na magonjwa nchini Uganda.,TRUE,VOA Swahili,News Website,Mixed,2025-05-21,waziri wa afya atangaza hatua mpya za kupambana na magonjwa nchini uganda,1.0
UG_TRUE_018,Uganda collaborates with international partners to enhance healthcare services.,TRUE,CNN,News Website,English,2025-01-22,uganda collaborates international partner enhance healthcare service,1.0
UG_TRUE_019,Uganda's education sector adopts new technologies to improve learning outcomes.,TRUE,BBC Africa,News Website,English,2025-01-22,uganda education sector adopts new technology improve learning outcome,1.0
UG_TRUE_020,Uganda's renewable energy initiatives gain momentum with new projects.,TRUE,The East African,News Website,English,2025-01-23,uganda renewable energy initiative gain momentum new project,1.0
UG_TRUE_021,Uganda's government launches campaign to promote tourism in the country.,TRUE,Daily Monitor,News Website,English,2025-06-06,uganda government launch campaign promote tourism country,1.0
UG_TRUE_022,Uganda's infrastructure development projects receive international funding.,TRUE,New Vision,News Website,English,2025-01-24,uganda infrastructure development project receive international funding,1.0
UG_FAKE_034,"No, Ugandan president Museveni didn’t declare war on social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-04-12,ugandan president museveni didnt declare war social medium platform,0.0
UG_FAKE_035,"No, newspaper didn’t report that Ugandan presidential hopeful Bobi Wine spent millions on witchcraft.",FAKE,AfricaCheck,Fact-Check,English,2020-12-18,newspaper didnt report ugandan presidential hopeful bobi wine spent million witchcraft,0.0
UG_FAKE_036,"No, Uganda’s state-owned electricity distributor is not hiring.",FAKE,AfricaCheck,Fact-Check,English,2025-03-03,uganda stateowned electricity distributor hiring,0.0
UG_FAKE_037,"Uganda’s health ministry ‘discussing’ announcement of third Covid-19 death? No, Facebook post fake.",FAKE,AfricaCheck,Fact-Check,English,2020-07-31,uganda health ministry discussing announcement third covid death facebook post fake,0.0
UG_FAKE_038,Ignore fake timetable for Uganda’s primary school exams circulating online.,FAKE,AfricaCheck,Fact-Check,English,2024-08-18,ignore fake timetable uganda primary school exam circulating online,0.0
UG_FAKE_039,"No, Ugandan opposition leader Bobi Wine didn’t call for a general strike.",FAKE,AfricaCheck,Fact-Check,English,2025-04-15,ugandan opposition leader bobi wine didnt call general strike,0.0
UG_FAKE_040,"No, Ugandan minister didn’t announce free laptops for all students.",FAKE,AfricaCheck,Fact-Check,English,2025-02-20,ugandan minister didnt announce free laptop student,0.0
UG_FAKE_041,"No, Ugandan government didn’t ban social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-03-15,ugandan government didnt ban social medium platform,0.0
UG_FAKE_042,"No, image not of Ugandan soldiers ‘slaughtering’ locusts.",FAKE,AfricaCheck,Fact-Check,English,2020-02-22,image ugandan soldier slaughtering locust,0.0
UG_FAKE_043,Ignore fake graphics claiming president Yoweri Museveni barred CNN journalist Larry Madowo from covering Uganda’s 2026 elections.,FAKE,AfricaCheck,Fact-Check,English,2025-12-17,ignore fake graphic claiming president yoweri museveni barred cnn journalist larry madowo covering uganda election,0.0
UG_FAKE_044,"Ugandan opposition party wins youth vote by landslide? No, headline fake.",FAKE,AfricaCheck,Fact-Check,English,2020-12-30,ugandan opposition party win youth vote landslide headline fake,0.0
UG_FAKE_045,"No, president William Ruto didn’t hint at giving Kenya’s portion of the Indian Ocean to Uganda to prevent war.",FAKE,AfricaCheck,Fact-Check,English,2025-12-01,president william ruto didnt hint giving kenya portion indian ocean uganda prevent war,0.0
UG_FAKE_046,"No, Ugandan president Museveni didn’t tweet announcement of his brother’s death.",FAKE,AfricaCheck,Fact-Check,English,2023-09-27,ugandan president museveni didnt tweet announcement brother death,0.0
UG_FAKE_047,"No, Uganda’s police didn’t threaten to arrest people who don’t watch NBS TV.",FAKE,AfricaCheck,Fact-Check,English,2021-02-21,uganda police didnt threaten arrest people dont watch nb tv,0.0
UG_FAKE_048,Altered photo used to claim Ugandan opposition politician Mpuuga running for 2026 presidency.,FAKE,AfricaCheck,Fact-Check,English,2024-04-29,altered photo used claim ugandan opposition politician mpuuga running presidency,0.0
UG_FAKE_049,"Front page claiming ‘203 killed’ in Ugandan riots fake, says newspaper New Vision.",FAKE,AfricaCheck,Fact-Check,English,2020-11-24,front page claiming killed ugandan riot fake say newspaper new vision,0.0
UG_FAKE_050,"No, Uganda’s NBS TV didn’t apologise for announcing ‘fake’ election results.",FAKE,AfricaCheck,Fact-Check,English,2021-02-05,uganda nb tv didnt apologise announcing fake election result,0.0
UG_TRUE_023,Uganda's government announces new measures to support farmers amid climate change challenges.,TRUE,Daily Monitor,News Website,English,2025-01-25,uganda government announces new measure support farmer amid climate change challenge,1.0
UG_FAKE_051,Fake UN job ad targets Ugandans amid unemployment crisis.,FAKE,AfricaCheck,Fact-Check,English,2025-06-30,fake un job ad target ugandan amid unemployment crisis,0.0
UG_FAKE_052,"No, Ugandan anti-graft unit not investigating official for misuse of public property.",FAKE,AfricaCheck,Fact-Check,English,2020-08-12,ugandan antigraft unit investigating official misuse public property,0.0
UG_FAKE_053,Uganda Red Cross doesn’t advertise jobs on Facebook – beware scam charging ‘registration fee’.,FAKE,AfricaCheck,Fact-Check,English,2020-03-20,uganda red cross doesnt advertise job facebook beware scam charging registration fee,0.0
UG_FAKE_054,"Motorists from Uganda and Tanzania crossing into Kenya for cheaper fuel? No, ignore fake graphic.",FAKE,AfricaCheck,Fact-Check,English,2024-03-20,motorist uganda tanzania crossing kenya cheaper fuel ignore fake graphic,0.0
UG_FAKE_055,Ugandan tabloid front page with headline about Kenya’s deputy president photoshopped.,FAKE,AfricaCheck,Fact-Check,English,2022-05-25,ugandan tabloid front page headline kenya deputy president photoshopped,0.0
UG_TRUE_024,Uganda's government to invest in renewable energy projects to reduce carbon emissions.,TRUE,New Vision,News Website,English,2025-01-26,uganda government invest renewable energy project reduce carbon emission,1.0
UG_FAKE_056,"Ugandan govt ‘to start killing youth’? No, newspaper front page manipulated.",FAKE,AfricaCheck,Fact-Check,English,2019-10-14,ugandan govt start killing youth newspaper front page manipulated,0.0
UG_FAKE_057,Photo of opposition leader Bobi Wine supporting Ugandan president Museveni doctored.,FAKE,AfricaCheck,Fact-Check,English,2021-01-01,photo opposition leader bobi wine supporting ugandan president museveni doctored,0.0
UG_FAKE_058,Kenyan police didn’t issue statement alleging immigrants were involved in violent street protests in Nairobi.,FAKE,AfricaCheck,Fact-Check,English,2025-07-09,kenyan police didnt issue statement alleging immigrant involved violent street protest nairobi,0.0
UG_FAKE_059,"Covid-19 funds stolen? No, front page of Uganda’s New Vision newspaper doctored.",FAKE,AfricaCheck,Fact-Check,English,2020-08-14,covid fund stolen front page uganda new vision newspaper doctored,0.0
UG_FAKE_060,Scam! Botswana’s finance ministry not advertising business grants on Facebook.,FAKE,AfricaCheck,Fact-Check,English,2020-09-10,scam botswana finance ministry advertising business grant facebook,0.0
UG_FAKE_061,Old photos used to falsely claim Ugandan opposition leader Bobi Wine was at president’s residency in 2025.,FAKE,AfricaCheck,Fact-Check,English,2025-11-19,old photo used falsely claim ugandan opposition leader bobi wine president residency,0.0
UG_FAKE_062,"Beware of fake Ugandan hotel, resorts and lodges ‘gold list’ ranking.",FAKE,AfricaCheck,Fact-Check,English,2022-11-15,beware fake ugandan hotel resort lodge gold list ranking,0.0
UG_FAKE_063,Altered photo used to claim Ugandan opposition politician Mpuuga running for 2026 presidency.,FAKE,AfricaCheck,Fact-Check,English,2024-04-29,altered photo used claim ugandan opposition politician mpuuga running presidency,0.0
UG_FAKE_064,"Unresponsive Facebook public group 'Equity Bank Uganda' is fake, legitimate Equity Bank page is verified, won't contact you on WhatsApp.",FAKE,AfricaCheck,Fact-Check,English,2023-07-27,unresponsive facebook public group equity bank uganda fake legitimate equity bank page verified wont contact whatsapp,0.0
UG_FAKE_065,Ignore TikTok video claiming Marburg outbreak in Uganda and possible lockdowns.,FAKE,AfricaCheck,Fact-Check,English,2025-01-25,ignore tiktok video claiming marburg outbreak uganda possible lockdown,0.0
UG_FAKE_066,"Ugandans, steer clear of Twitter account impersonating Stanbic bank Uganda.",FAKE,AfricaCheck,Fact-Check,English,2023-08-01,ugandan steer clear twitter account impersonating stanbic bank uganda,0.0
UG_FAKE_067,NUP spokesperson Waiswa Mufumbiro has not been released on bail,FAKE,PesaCheck,Fact-Check,English,2025-12-12,nup spokesperson waiswa mufumbiro released bail,0.0
UG_FAKE_068,This video of Bobi Wine commenting on the violence in Uganda is edited,FAKE,PesaCheck,Fact-Check,English,2025-11-26,video bobi wine commenting violence uganda edited,0.0
UG_FAKE_069,Kampala MP aspirant Abraham Luzzi is not dead.,FAKE,PesaCheck,Fact-Check,English,2025-02-15,kampala mp aspirant abraham luzzi dead,0.0
UG_FAKE_070,This purported President Museveni Christmas grant is fake,FAKE,PesaCheck,Fact-Check,English,2025-12-24,purported president museveni christmas grant fake,0.0
UG_FAKE_071,This image of a plane on the road wasn’t taken in Kenya,FAKE,PesaCheck,Fact-Check,English,2025-03-05,image plane road wasnt taken kenya,0.0
UG_FAKE_072,This video of Bobi Wine being arrested is from 2021,FAKE,PesaCheck,Fact-Check,English,2025-10-14,video bobi wine arrested,0.0
UG_FAKE_073,There is no evidence that Ugandan opposition leader Bobi Wine has fled to the US,FAKE,PesaCheck,Fact-Check,English,2025-08-30,evidence ugandan opposition leader bobi wine fled u,0.0
UG_FAKE_074,This video of US President Trump commenting on electoral violence in Uganda is doctored. The original video is of Trump’s speech during his campaign in Wisconsin in 2016.,FAKE,PesaCheck,Fact-Check,English,2025-11-05,video u president trump commenting electoral violence uganda doctored original video trump speech campaign wisconsin,0.0
UG_FAKE_075,This video of Bobi Wine calling for the overthrow of the Ugandan government is fake,FAKE,PesaCheck,Fact-Check,English,2025-09-15,video bobi wine calling overthrow ugandan government fake,0.0
UG_TRUE_025,Uganda's government to launch nationwide digital literacy program for youth.,TRUE,Daily Monitor,News Website,English,2025-01-27,uganda government launch nationwide digital literacy program youth,1.0
UG_FAKE_076,HOAX: This Shell Christmas promo is fake,FAKE,PesaCheck,Fact-Check,English,2025-12-20,hoax shell christmas promo fake,0.0
UG_FAKE_077,This video of Ugandan security forces shooting at protesters is from 2020,FAKE,PesaCheck,Fact-Check,English,2025-10-19,video ugandan security force shooting protester,0.0
UG_FAKE_078, This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods,FAKE,PesaCheck,Fact-Check,English,2025-09-10,video businessman ham kiggundu speaking trader lost merchandise downtown kampala flood,0.0
UG_FAKE_079,FALSE: Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are counted,FAKE,PesaCheck,Fact-Check,English,2025-10-14,false uganda ec spokesperson ask ugandan stay polling station vote counted,0.0
UG_FAKE_080,This video of Bobi Wine calling for international intervention in Uganda is fake,FAKE,PesaCheck,Fact-Check,English,2025-11-20,video bobi wine calling international intervention uganda fake,0.0
UG_FAKE_081,Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are countedThe video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-10-14,uganda ec spokesperson ask ugandan stay polling station vote countedthe video created using ai,0.0
UG_FAKE_082,ALTERED: This purported 7 December 2025 Sunday Monitor cover is edited,FAKE,PesaCheck,Fact-Check,English,2025-12-08,altered purported december sunday monitor cover edited,0.0
UG_FAKE_083,"FALSE: This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods. The original video, from June 2023, is of Ham commenting about a case pitting him against Diamond Trust Bank.",FAKE,PesaCheck,Fact-Check,English,2025-12-10,false video businessman ham kiggundu speaking trader lost merchandise downtown kampala flood original video june ham commenting case pitting diamond trust bank,0.0
UG_FAKE_084,This video of Ugandan security forces shooting at protesters is from 2020The video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-10-19,video ugandan security force shooting protester video created using ai,0.0
UG_FAKE_085,This video of Bobi Wine calling for international intervention in Uganda is fakeThe video was created using AI.,FAKE,PesaCheck,Fact-Check,English,2025-11-20  ,video bobi wine calling international intervention uganda fakethe video created using ai,0.0
UG_TRUE_026,Uganda's government to enhance cybersecurity measures to protect citizens online.,TRUE,New Vision,News Website,English,2025-01-28 ,uganda government enhance cybersecurity measure protect citizen online,1.0
UG_TRUE_027,Uganda's healthcare system to receive new medical equipment to improve patient care.,TRUE,VOA Swahili,News Website,Mixed,2025-01-28,uganda healthcare system receive new medical equipment improve patient care,1.0
UG_TRUE_028,Uganda's government to implement new policies to support renewable energy development.,TRUE,CNN,News Website,English,2025-01-29,uganda government implement new policy support renewable energy development,1.0
UG_TRUE_029,Uganda's education sector to receive increased funding for infrastructure development.,TRUE,BBC Africa,News Website,Mixed,2025-01-29,uganda education sector receive increased funding infrastructure development,1.0
UG_TRUE_030,Uganda's tourism industry to launch new marketing campaign to attract international visitors.,TRUE,The East African,News Website,English,2025-01-30   ,uganda tourism industry launch new marketing campaign attract international visitor,1.0
UG_TRUE_031,Uganda's government to invest in digital infrastructure to support economic growth.,TRUE,Daily Monitor,News Website,English,2025-01-30    ,uganda government invest digital infrastructure support economic growth,1.0
UG_TRUE_032,Uganda's agricultural sector to benefit from new irrigation projects to boost productivity.,TRUE,New Vision,News Website,English,2025-01-31,uganda agricultural sector benefit new irrigation project boost productivity,1.0
UG_TRUE_033,Uganda's government to implement new measures to improve public transportation systems.,TRUE,VOA Swahili,News Website,Mixed,2025-01-31,uganda government implement new measure improve public transportation system,1.0
UG_TRUE_034,Uganda's healthcare sector to receive training programs for medical professionals.,TRUE,CNN,News Website,English,2025-02-01,uganda healthcare sector receive training program medical professional,1.0
UG_TRUE_035,Uganda's education system to adopt new curriculum to enhance student learning outcomes.,TRUE,BBC Africa,News Website,English,2025-02-01,uganda education system adopt new curriculum enhance student learning outcome,1.0
UG_TRUE_036,Uganda's government to launch new initiatives to promote entrepreneurship among youth.,TRUE,The East African,News Website,English,2025-02-02  ,uganda government launch new initiative promote entrepreneurship among youth,1.0
UG_TRUE_037,Uganda's government to enhance disaster preparedness and response mechanisms.,TRUE,Daily Monitor,News Website,English,2025-02-02    ,uganda government enhance disaster preparedness response mechanism,1.0
UG_TRUE_038,Uganda's tourism sector to develop new eco-tourism destinations to attract visitors.,TRUE,New Vision,News Website,English,2025-02-03,uganda tourism sector develop new ecotourism destination attract visitor,1.0
UG_TRUE_039,Uganda's government to implement new policies to support smallholder farmers.,TRUE,VOA Swahili,News Website,Mixed,2025-02-03,uganda government implement new policy support smallholder farmer,1.0
UG_TRUE_040,Uganda's healthcare system to expand access to essential medicines in rural areas.,TRUE,CNN,News Website,English,2025-02-04,uganda healthcare system expand access essential medicine rural area,1.0
UG_TRUE_041,Uganda's education sector to receive new technology resources to enhance teaching and learning.,TRUE,BBC Africa,News Website,English,2025-02-04,uganda education sector receive new technology resource enhance teaching learning,1.0
UG_TRUE_042,Uganda's government to invest in renewable energy projects to reduce carbon emissions.,TRUE,The East African,News Website,English,2025-02-05  ,uganda government invest renewable energy project reduce carbon emission,1.0
UG_TRUE_043,Uganda's government to launch campaign to promote tourism in the country.,TRUE,Daily Monitor,News Website,English,2025-06-06    ,uganda government launch campaign promote tourism country,1.0
UG_TRUE_044,Uganda's infrastructure development projects receive international funding.,TRUE,New Vision,News Website,English,2025-02-06   ,uganda infrastructure development project receive international funding,1.0
UG_TRUE_045,Uganda's government to implement new measures to support digital innovation.,TRUE,VOA Swahili,News Website,Mixed,2025-02-06,uganda government implement new measure support digital innovation,1.0
UG_TRUE_046,Uganda's healthcare sector to receive new funding for disease prevention programs.,TRUE,CNN,News Website,English,2025-02-07,uganda healthcare sector receive new funding disease prevention program,1.0
UG_TRUE_047,Uganda's education system to implement new teacher training programs to improve quality of education.,TRUE,BBC Africa,News Website,English,2025-02-07,uganda education system implement new teacher training program improve quality education,1.0
UG_TRUE_048,Uganda's government to invest in infrastructure projects to improve rural connectivity.,TRUE,The East African,News Website,English,2025-02-08  ,uganda government invest infrastructure project improve rural connectivity,1.0
UG_TRUE_049,Uganda's agricultural sector to benefit from new market access initiatives for farmers.,TRUE,Daily Monitor,News Website,English,2025-02-08    ,uganda agricultural sector benefit new market access initiative farmer,1.0
UG_TRUE_050,Uganda's government to enhance public health campaigns to promote healthy lifestyles.,TRUE,New Vision,News Website,English,2025-02-09 ,uganda government enhance public health campaign promote healthy lifestyle,1.0
UG_TRUE_051,Uganda's tourism industry to develop new cultural heritage sites to attract visitors.,TRUE,VOA Swahili,News Website,Mixed,2025-02-09,uganda tourism industry develop new cultural heritage site attract visitor,1.0
UG_TRUE_052,Uganda's government to implement new policies to support small and medium enterprises.,TRUE,CNN,News Website,English,2025-02-10,uganda government implement new policy support small medium enterprise,1.0
UG_TRUE_053,Uganda's healthcare system to receive new medical supplies to improve patient care.,TRUE,BBC Africa,News Website,English,2025-02-10,uganda healthcare system receive new medical supply improve patient care,1.0
UG_TRUE_054,Uganda's education sector to receive increased funding for school infrastructure development.,TRUE,The East African,News Website,English,2025-02-11  ,uganda education sector receive increased funding school infrastructure development,1.0
UG_TRUE_055,Uganda's government to launch new initiatives to promote youth employment.,TRUE,Daily Monitor,News Website,English,2025-02-11    ,uganda government launch new initiative promote youth employment,1.0
UG_TRUE_056,Uganda's government to enhance disaster risk reduction strategies.,TRUE,New Vision,News Website,English,2025-02-12,uganda government enhance disaster risk reduction strategy,1.0
UG_TRUE_057,Uganda's tourism sector to develop new adventure tourism experiences to attract visitors.,TRUE,VOA Swahili,News Website,Mixed,2025-02-12,uganda tourism sector develop new adventure tourism experience attract visitor,1.0
UG_TRUE_058,Uganda's government to implement new measures to support agricultural innovation.,TRUE,CNN,News Website,English,2025-02-13,uganda government implement new measure support agricultural innovation,1.0
UG_TRUE_059,Uganda's healthcare system to expand access to primary healthcare services in underserved areas.,TRUE,BBC Africa,News Website,English,2025-02-13,uganda healthcare system expand access primary healthcare service underserved area,1.0
UG_TRUE_060,Uganda's education sector to receive new digital learning resources to enhance student engagement.,TRUE,The East African,News Website,English,2025-02-14  ,uganda education sector receive new digital learning resource enhance student engagement,1.0
